,Beta,Book Value Per Share,Cash Flow,Current Ratio,D/E Ratio,Date,Difference,Diluted EPS,EBITDA,Earnings Growth,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Forward P/E,Gross Profit,Held by Insiders,Held by Institutions,Market Cap,Net Income Avl to Common ,Operating Margin,PEG Ratio,Price,Price/Book,Price/Sales,Profit Margin,Return on Assets,Return on Equity,Revenue,Revenue Growth,Revenue Per Share,SP500,Shares Short (as of,Short % of Float,Short Ratio,Status,Ticker,Total Cash,Total Cash Per Share,Total Debt,Trailing P/E,Unix,sp500_p_change,stock_p_change
188,0.73,25.47,1410000000.0,1.14,55.30,2012-01-28 05:43:21,-12.088103078553617,2.72,8.75,37.50,19240000000.0,8.75,1.72,13.23,8510000000.0,4.28,87.20,19240000000.0,93000000.0,14.60,1.54,48.0,1.87,1.38,8.33,3.92,13.71,1.72,51.20,33.17,1326.060059,346000.0,1.10,1.90,underperform,aon,90200000.0,2.79,4580000000.0,17.72,1327747401.0,16.254769745220283,4.166666666666666
189,0.73,25.47,1410000000.0,1.14,55.30,2012-01-28 14:58:47,-12.088103078553617,2.72,8.75,37.50,19240000000.0,8.75,1.72,13.26,8510000000.0,4.28,87.20,19240000000.0,93000000.0,14.60,1.55,48.0,1.87,1.38,8.33,3.92,13.71,1.72,51.20,33.17,1326.060059,346000.0,1.10,1.90,underperform,aon,90200000.0,2.79,4580000000.0,17.72,1327780727.0,16.254769745220283,4.166666666666666
190,0.431,21.131001,2710000000.0,1.08,0.319,2004-05-12 19:41:03,0.0,3.451,4.82,102.40,15520000000.0,4.82,3.55,13.43,3430000000.0,16.00,80.74,13060000000.0,1130000000.0,44.71,1.43,40.16,1.93,3.04,25.88,9.40,18.16,3.55,63.70,13.406,1097.280029,405999.99999999994,1.49,1.697,underperform,apa,6115000.0,0.19,2190000000.0,11.64,1084405263.0,0.0,0.0
191,0.446,22.011999,2780000000.0,1.187,0.301,2004-09-19 14:30:16,13.908915339888564,3.835,5.4,102.40,17830000000.0,5.4,3.91,10.98,3430000000.0,16.01,77.02,15640000000.0,1260000000.0,44.20,0.84,47.98,2.13,3.35,27.65,10.07,19.32,3.91,63.70,13.943,1123.5,250000.0,0.91,1.427,outperform,apa,9748000.0,0.3,2190000000.0,12.51,1095618616.0,2.3895423508158995,16.298457690704463
192,0.442,22.011999,2780000000.0,1.187,0.301,2004-10-27 04:46:49,23.13572740968407,3.835,5.91,102.40,19520000000.0,5.91,4.28,10.22,3430000000.0,16.01,77.52,17620000000.0,1260000000.0,44.20,0.87,54.05,2.42,3.80,27.65,10.07,19.32,4.28,63.70,13.943,1125.400024,322000.0,1.18,1.705,outperform,apa,9748000.0,0.3,2190000000.0,14.09,1098866809.0,2.5626999723695887,25.69842738205366
193,1.52,69.46,9100000000.0,1.14,25.81,2011-12-30 22:31:04,40.767109328256595,10.28,3.46,28.80,41270000000.0,3.46,2.60,7.33,9880000000.0,0.48,86.40,41270000000.0,4010000000.0,49.31,0.69,90.0,1.30,2.18,25.76,11.58,16.39,2.60,43.40,41.51,1257.599976,399000.0,1.00,1.30,outperform,apa,58600000.0,1.53,7200000000.0,8.81,1325302264.0,14.610668449521189,55.37777777777778
194,1.69,74.09,9980000000.0,1.05,26.50,2012-06-07 09:06:44,31.773582644850904,10.60,3.09,29.70,40400000000.0,3.09,2.34,6.41,13990000000.0,0.39,85.40,40400000000.0,4170000000.0,49.36,0.78,83.0,1.13,1.89,24.59,10.86,15.47,2.34,15.50,44.93,1314.98999,484000.0,1.30,1.50,outperform,apa,24500000.0,0.63,7870000000.0,7.88,1339074404.0,19.840875186474392,51.614457831325296
195,1.79,76.87,8500000000.0,0.90,39.40,2013-04-23 05:22:32,-2.084130986788587,4.92,3.17,43.80,39250000000.0,3.17,2.33,6.99,13810000000.0,0.41,83.60,39250000000.0,1920000000.0,41.43,1.17,69.0,0.90,1.60,11.89,7.73,6.63,2.33,1.60,43.28,1578.780029,604000.0,1.50,1.80,underperform,apa,16000000.0,0.41,12340000000.0,14.07,1366708952.0,43.881232436063954,41.79710144927537
196,1.78,76.87,8500000000.0,0.90,39.40,2013-05-10 03:19:15,1.533424362396289,4.92,3.37,43.80,41760000000.0,3.37,2.48,8.27,13810000000.0,0.41,83.60,41760000000.0,1920000000.0,41.43,1.25,81.0,1.01,1.81,11.89,7.73,6.63,2.48,1.60,43.28,1633.699951,644000.0,1.70,2.00,outperform,apa,16000000.0,0.41,12340000000.0,16.56,1368170355.0,48.88632872402347,50.41975308641976
197,0.623,37.334,3500000000.0,0.598,0.475,2005-01-23 01:45:43,20.577221230793953,5.89,4.99,55.50,20430000000.0,4.99,3.56,9.41,4290000000.0,2.00,78.20,16010000000.000002,1490000000.0,46.26,1.03,63.9,1.71,2.79,26.03,7.12,16.99,3.56,32.70,22.677,1175.410034,672000.0,2.74,3.121,outperform,apc,15400000.0,0.61,4480000000.0,10.85,1106462743.0,13.992418831803855,34.569640062597806
198,0.611,38.053001,3500000000.0,1.206,0.395,2005-03-06 05:42:18,31.22486063452283,6.37,5.38,55.50,23280000000.0,5.38,3.84,12.73,4290000000.0,2.00,78.13,20390000000.0,1600000000.0,47.49,1.51,81.37,2.08,3.26,26.47,7.67,17.77,3.84,32.70,24.099,1210.469971,605000.0,2.46,3.304,outperform,apc,87400000.0,3.49,3670000000.0,12.78,1110105738.0,17.392565935466113,48.61742656998894
199,1.47,42.03,46780000000.0,1.65,60.68,2011-05-13 21:22:08,13.761750359984912,0.52,8.52,69.80,46780000000.0,8.52,4.28,17.98,8720000000.0,0.33,86.30,46780000000.0,26000000.0,14.93,1.28,74.0,1.77,3.38,2.39,1.99,1.54,4.28,3.00,22.05,1337.77002,450000.0,0.90,1.40,outperform,apc,3460000000.0,6.96,13220000000.0,141.34,1305336128.0,29.73824964001508,43.49999999999999
200,2.35,42.06,8950000000.0,1.80,66.12,2013-05-16 15:24:29,-7.575561457859479,1.38,7.29,78.70,55290000000.0,7.29,4.06,16.69,10720000000.0,0.33,86.70,55290000000.0,68900000.0,15.40,0.97,88.0,2.10,3.25,5.11,2.42,3.43,4.06,9.00,27.20,1650.469971,898000.0,1.80,2.60,underperform,apc,3740000000.0,7.45,14760000000.0,64.61,1368732269.0,60.064197821495846,52.48863636363637
201,0.833,17.523001,97850000.0,1.536,0.646,2004-04-11 04:17:28,-3.5880510971326567,1.793,11.22,24.40,14150000000.0,11.22,2.16,17.17,1680000000.0,5.93,84.40,11670000000.0,40330000.0,9.28,1.94,51.34,2.93,1.79,6.41,4.58,10.71,2.16,16.60,29.097,1139.319946,120000.0,0.56,1.251,underperform,apd,9290000.0,0.41,2570000000.0,28.63,1081671448.0,1.1533023632019987,-2.434748733930658
202,0.715,18.679001,1000000000.0,1.405,0.579,2004-09-30 16:49:17,4.013690882605763,2.491,9.76,24.40,14800000000.0,9.76,2.09,17.54,1680000000.0,5.94,85.27,12320000000.0,56729999.99999999,11.83,2.00,54.2,2.93,1.76,8.26,6.08,14.24,2.09,16.60,31.077,1114.579956,187000.0,0.87,2.084,outperform,apd,8950000.0,0.39,2460000000.0,21.76,1096577357.0,-1.0432111778087167,2.9704797047970466
203,0.742,18.679001,1000000000.0,1.405,0.579,2004-11-29 02:19:46,2.7575966347194694,2.491,10.08,24.40,15280000000.0,10.08,2.16,16.46,1680000000.0,5.94,85.60,12910000000.0,56729999.99999999,11.83,1.80,56.79,3.05,1.83,8.26,6.08,14.24,2.16,16.60,31.077,1178.569946,149000.0,0.70,1.324,outperform,apd,8950000.0,0.39,2460000000.0,22.80,1101712786.0,4.638071616733243,7.395668251452713
204,0.678,20.856001,1240000000.0,1.447,0.541,2005-03-15 11:14:35,11.768670981382517,2.78,10.32,52.10,16910000000.0,10.32,2.19,18.19,1950000000.0,5.80,85.13,14620000000.0,63910000.0,11.91,2.01,64.22,3.05,1.88,8.55,6.55,14.83,2.19,17.70,33.522,1197.75,191000.0,0.89,2.199,outperform,apd,27270000.0,1.2,2570000000.0,23.13,1110899675.0,6.34095218896939,18.109623170351906
205,1.24,27.49,24070000000.0,1.35,72.72,2011-07-21 11:46:56,24.745341969642464,5.04,9.85,20.80,24070000000.0,9.85,2.53,14.50,2520000000.0,0.08,85.10,24070000000.0,1100000000.0,16.63,1.40,94.0,3.42,2.10,11.56,7.32,19.65,2.53,11.20,44.53,1343.800049,240000.0,1.10,1.80,outperform,apd,27720000.0,1.31,4400000000.0,18.67,1311263216.0,19.307849519719237,44.0531914893617
206,1.12,30.52,1800000000.0,1.27,75.54,2012-11-06 21:25:11,6.61230060484732,5.44,9.06,57.30,21520000000.0,9.06,2.24,12.40,2770000000.0,0.17,86.00,21520000000.0,99920000.0,15.96,1.90,79.0,2.58,1.74,12.14,6.14,15.84,2.24,0.20,45.51,1428.390015,252000.0,1.20,3.50,outperform,apd,45440000.0,2.14,5290000000.0,14.65,1352255111.0,26.818079141988115,33.430379746835435
207,1.10,30.56,1660000000.0,1.05,86.63,2013-05-15 13:09:58,-5.064218814925148,5.58,10.17,1.90,24590000000.0,10.17,2.46,15.06,2560000000.0,0.18,86.80,24590000000.0,1060000000.0,15.41,1.87,91.0,3.00,1.91,11.93,5.98,16.36,2.46,6.00,47.48,1658.780029,426999.99999999994,2.00,3.90,underperform,apd,40160000.0,1.93,5990000000.0,16.41,1368637798.0,47.27301002371635,42.208791208791204
208,1.984,4.049,15547000.0,2.225,1.476,2004-05-21 16:30:26,-101.93962847968488,1.307,12.77,29.40,3300000000.0,12.77,2.50,15.97,41878000.0,54.97,80.95,2750000000.0,11634000.0,16.74,1.05,31.14,7.84,2.12,8.83,10.03,42.51,2.50,16.70,14.825,1093.560059,146000.0,3.67,3.574,underperform,aph,2840000.0,0.32,52702000.0,23.83,1085171426.0,-2.9094402422162093,-104.84906872190109
209,2.085,4.88,18712000.0,1.846,1.088,2005-01-22 01:12:56,-74.83036279009326,1.822,12.58,29.40,3730000000.0,12.58,2.44,15.73,41878000.0,12.98,95.00,3330000000.0,16331000.0,17.59,1.05,37.6,7.60,2.24,10.67,13.46,43.20,2.44,16.70,17.067,1184.630005,177000.0,2.30,3.654,underperform,aph,2252000.0,0.25,46984000.0,20.64,1106374376.0,5.176107470944326,-69.65425531914893
210,2.105,5.474,18712000.0,1.92,0.932,2005-03-06 06:27:14,-67.30490911697343,1.82,12.52,29.40,3950000000.0,12.52,2.58,15.96,41878000.0,12.98,94.34,3530000000.0,16331000.0,18.08,0.96,39.91,7.36,2.33,10.67,13.26,40.96,2.58,16.70,17.055,1210.469971,225999.99999999997,2.93,3.211,underperform,aph,3017000.0,0.34,44905000.0,21.92,1110108434.0,7.47028120416962,-59.83462791280382
211,1.53,15.68,69073000.0,3.34,67.07,2013-05-12 15:28:10,-24.15965936233165,3.56,13.81,20.90,13500000000.0,13.81,3.08,18.80,1340000000.0,0.24,100.30,13500000000.0,58176000.0,19.41,1.50,80.0,4.99,2.85,13.25,10.88,24.50,3.08,10.00,27.31,1626.670044,241000.0,1.50,4.00,underperform,aph,1020000000.0,6.39,1690000000.0,22.55,1368386890.0,44.42215936233165,20.2625
