,Beta,Book Value Per Share,Cash Flow,Current Ratio,D/E Ratio,Date,Difference,Diluted EPS,EBITDA,Earnings Growth,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Forward P/E,Gross Profit,Held by Insiders,Held by Institutions,Market Cap,Net Income Avl to Common ,Operating Margin,PEG Ratio,Price,Price/Book,Price/Sales,Profit Margin,Return on Assets,Return on Equity,Revenue,Revenue Growth,Revenue Per Share,SP500,Shares Short (as of,Short % of Float,Short Ratio,Status,Ticker,Total Cash,Total Cash Per Share,Total Debt,Trailing P/E,Unix,sp500_p_change,stock_p_change
94,2.13,8.98,57870000.00000001,1.75,5.45,2013-02-06 12:50:17,5.888795905500615,1.06,15.97,59.60,7560000000.0,15.97,3.29,18.42,1990000000.0,0.16,95.30,7560000000.0,24490000.0,15.22,1.18,39.0,4.35,3.82,10.66,6.80,12.74,3.29,0.10,10.13,1512.119995,362000.0,1.60,1.60,outperform,adsk,1330000000.0,5.92,11000000.0,36.85,1360173017.0,46.8291528124481,52.717948717948715
95,2.15,9.14,55910000.0,2.45,36.49,2013-05-14 02:47:26,-8.776838143226698,1.07,16.10,3.50,7690000000.0,16.10,3.33,15.88,2069999999.9999998,0.12,91.80,7690000000.0,24740000.0,15.13,1.26,38.0,4.35,3.85,10.70,5.80,12.60,3.33,2.40,10.21,1650.339966,381000.0,1.70,1.50,underperform,adsk,1950000000.0,8.73,74560000.0,36.36,1368514046.0,60.25052235375301,51.473684210526315
96,1.72,22.61,1560000000.0,1.05,48.01,2013-04-23 04:44:32,0.0,1.72,8.65,12.90,11770000000.0,8.65,3.63,21.49,1850000000.0,0.12,86.70,11770000000.0,40600000.0,23.47,2.20,43.0,1.93,2.96,12.52,5.20,7.70,3.63,1.80,13.96,1578.780029,495000.0,2.20,3.20,underperform,adt,38200000.0,1.74,2530000000.0,25.49,1366706672.0,0.0,0.0
97,1.72,20.42,1600000000.0,1.14,69.94,2013-05-09 13:05:42,-0.7606284906043363,1.74,9.21,1.90,12640000000.0,9.21,3.88,21.91,1850000000.0,0.12,86.70,12640000000.0,40800000.0,23.22,2.23,44.0,2.18,3.09,12.53,5.09,8.18,3.88,1.70,14.10,1626.670044,822000.0000000001,3.70,2.40,underperform,adt,41900000.0,1.85,3230000000.0,25.57,1368119142.0,3.0333557633316093,2.272727272727273
98,0.12,28.576,1040000000.0,1.598,0.804,2004-09-24 17:33:50,0.0,3.16,7.89,37.20,12830000000.0,7.89,2.69,15.10,3080000000.0,1.02,54.42,8950000000.0,52772000.0,23.11,5.47,46.07,1.61,1.88,11.08,3.74,11.34,2.69,19.60,28.079,1110.109985,741000.0,3.85,9.802,underperform,aee,51100000.0,2.63,4380000000.0,14.58,1096061630.0,0.0,0.0
99,0.107,28.576,1040000000.0,1.598,0.804,2004-11-02 15:30:15,2.1986583512959057,3.136,8.13,37.20,13210000000.0,8.13,2.78,15.74,3080000000.0,1.02,54.90,9330000000.0,52789000.0,23.14,5.77,48.01,1.68,1.96,11.10,3.74,11.34,2.78,19.60,27.933,1130.560059,361000.0,1.88,7.157,outperform,aee,51100000.0,2.63,4380000000.0,15.31,1099423815.0,1.84216647686489,4.040824828160796
100,0.167,29.774,91500000.0,0.875,0.974,2005-03-05 21:55:16,2.107843484462977,2.83,9.7,37.20,15860000000.0,9.7,3.07,16.00,3080000000.0,1.02,53.44,10070000000.0,52972000.0,20.89,5.57,51.83,1.72,1.93,10.27,3.37,10.02,3.07,19.60,27.694,1210.079956,590000.0,3.07,10.387,outperform,aee,6900000.0,0.36,5860000000.0,18.34,1110077716.0,9.005411387232948,11.113254871695926
101,0.24,32.64,1880000000.0,1.29,86.81,2012-04-23 16:14:50,-71.74844470100543,2.15,6.56,51.90,14630000000.0,6.56,1.99,16.72,2610000000.0,0.12,1.50,14630000000.0,51900000.0,19.37,3.47,31.0,0.97,1.05,7.07,3.77,6.60,1.99,7.50,30.38,1366.939941,470000.0,1.90,3.10,underperform,aee,25500000.0,1.05,7000000000.0,14.63,1335212090.0,23.135541475198966,-48.612903225806456
102,0.383,21.51,2600000000.0,0.803,1.435,2005-04-04 22:37:45,-0.11857922861861514,2.85,7.01,890.00,25190000000.0,7.01,1.79,13.27,7610000000.0,0.76,65.52,13460000000.0,1130000000.0,16.31,4.03,33.96,1.59,0.96,8.02,3.24,13.42,1.79,3.40,35.497,1176.119995,1950000.0,4.96,11.574,underperform,aep,70800000.0,1.79,12310000000.0,11.93,1112668665.0,6.950145777499653,6.831566548881038
103,0.55,28.33,35310000000.0,0.77,136.63,2011-04-08 04:53:43,-11.176774841846067,2.53,7.46,26.10,35310000000.0,7.46,2.45,10.91,8260000000.0,0.08,68.30,35310000000.0,1210000000.0,20.49,2.81,35.0,1.26,1.19,8.39,3.74,9.04,2.45,4.60,30.10,1328.170044,484000.0,1.00,1.80,underperform,aep,48500000.0,1.01,18690000000.0,14.02,1302252823.0,20.776774841846066,9.6
104,0.36,30.69,3830000000.0,0.66,123.75,2012-07-27 00:36:41,-3.2035268913552173,4.09,8.17,10.20,38040000000.0,8.17,2.53,13.40,8270000000.0,0.08,61.90,38040000000.0,1600000000.0,18.94,4.01,41.0,1.34,1.33,13.17,3.44,11.20,2.53,2.80,31.09,1385.969971,736000.0,1.50,2.50,underperform,aep,36600000.0,0.76,18380000000.0,10.25,1343363801.0,26.032795184038143,22.829268292682926
